local,filename,path,falha,tamanho
14A,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.8
14B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.64
14B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.38
14D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.87
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.18
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.8
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.89
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.76
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.63
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.55
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.75
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.44
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.92
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.36
14F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.46
15D,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Trinca,0.24
15F,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,44.75
16B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,1.21
16B,BR220804S06H09YJ0055 copy.jpg,images_folder/BR220804S06H09YJ0055 copy.jpg,Solda fria,0.64
